midpoint	h1x
3052.016	0.247
12408.375	0.114
20875.3805	0.063
28623.6565	0.152
35885.999	0.306
42635.615	0.282
48702.212	0.074
55329.299	0.122
63488.9915	0.062
70585.054	0.061
77121.5235	0.072
83497.1425	0.071
89321.1505	0.242
96518.2945	0.091
104594.8005	0.088
110818.241	0.048
116890.48	0.052
122996.434	0.051
129045.3985	0.042
134950.1245	0.037
140868.7305	0.038
147237.472	0.026
153001.452	0.043
158655.298	0.038
164671.101	0.042
170447.1055	0.044
175897.091	0.027
181584.5165	0.015
187346.638	0.023
193339.0485	0.029
198990.8505	0.031
204258.8415	0.028
210059.366	0.016
215869.7675	0.026
221650.398	0.024
227363.8875	0.02
232940.347	0.017
239781.173	0.013
246100.7	0.016
251378.2195	0.009
256902.1735	0.01
262131.857	0.008
267201.7155	0.01
272247.941	0.006
277424.7315	0.006
282541.2305	0.012
287703.8345	0.017
293634.5215	0.012
300072.358	0.008
307839.112	0.012
312976.972	0.014
318197.4765	0.009
323352.1595	0.011
328971.6025	0.011
334854.1835	0.016
341656.9805	0.008
348565.365	0.007
354994.156	0.009
360660.699	0.006
366156.3375	0.002
372483.6925	0.004
378510.375	0.004
383903.9025	0.009
389337.923	0.011
395301.513	0.008
401141.4395	0.007
406610.7445	0.004
411723.223	0.004
417165.178	0.005
422388.0985	0.008
427485.928	0.008
432363.5825	0.01
437688.3135	0.01
443204.424	0.011
448190.2005	0.019
453357.743	0.003
459620.074	0.0
465240.8605	0.003
470676.1985	0.005
475889.501	0.005
481154.647	0.004
486345.938	0.001
491721.537	0.003
496736.8825	0.003
502010.556	0.003
507266.102	0.004
512540.429	0.004
517897.495	0.003
522847.478	0.003
527914.6475	0.003
534854.5355	0.003
543162.6555	0.004
552049.619	0.004
558439.4275	0.002
564287.9495	0.002
569917.3295	0.004
575169.6835	0.004
581361.2385	0.001
588273.556	0.004
595161.979	0.002
602158.463	0.004
609267.666	0.004
616144.607	0.002
623228.276	0.001
629835.472	0.002
635323.489	0.001
640808.852	0.001
646244.6805	0.0
654320.1125	0.001
661732.7505	0.001
669486.2425	0.001
676085.3555	0.003
682658.9625	0.001
688379.9925	0.002
693838.6655	0.002
699993.0555	0.003
707492.043	0.0
714552.6035	0.001
720637.1965	0.0
725917.172	0.002
730924.0585	0.002
736267.4645	0.0
741727.6665	0.001
747762.4455	0.001
755330.8475	0.001
760968.0845	0.001
766164.2495	0.002
771374.3875	0.0
776685.539	0.002
782706.1555	0.003
790340.109	0.002
797060.2485	0.001
804857.446	0.002
810916.111	0.001
816455.1025	0.002
821994.6675	0.001
827585.091	0.003
832807.2695	0.002
838327.4465	0.007
843628.707	0.003
849711.2545	0.002
855257.0335	0.003
861672.449	0.001
867117.0845	0.001
873024.0715	0.002
878750.227	0.003
884107.217	0.001
889622.2305	0.002
894884.4695	0.002
900370.686	0.001
906305.2545	0.001
913443.981	0.0
919644.5325	0.004
925115.0435	0.003
931009.507	0.002
936729.3715	0.002
942229.55	0.002
948024.1275	0.002
956998.5615	0.001
963500.904	0.001
970653.6155	0.001
977258.0775	0.002
983210.8395	0.001
990619.417	0.0
996840.313	0.005
1002587.072	0.001
1009972.4485	0.002
1016043.073	0.002
1021610.782	0.002
1028249.4105	0.0
1036199.121	0.0
1043531.877	0.0
1050605.94	0.004
1055808.0875	0.002
1061766.612	0.001
1067952.635	0.002
1076129.52	0.0
1084668.655	0.0
1092436.569	0.001
1098673.1565	0.001
1104454.914	0.004
1110284.592	0.004
1116328.159	0.01
1123551.248	0.005
1129102.987	0.0
1135396.6515	0.0
1142505.2705	0.0
1149820.4985	0.001
1156124.9215	0.003
1161876.731	0.001
1167696.12	0.0
1173185.5785	0.001
1178955.4175	0.0
1184441.6195	0.001
1190613.92	0.001
1196964.5365	0.001
1203250.6385	0.002
1208323.251	0.002
1214131.999	0.001
1219987.5685	0.0
1226462.208	0.0
1231812.8335	0.001
1238092.6005	0.0
1244976.855	0.0
1251218.783	0.001
1256793.8415	0.004
1262916.867	0.004
1269177.615	0.002
1274966.143	0.001
1280865.13	0.001
1285995.033	0.003
1291871.9595	0.002
1297328.622	0.005
1302422.2715	0.002
1308320.301	0.001
1313658.605	0.002
1319127.1015	0.002
1325157.005	0.002
1332954.7475	0.0
1341427.7075	0.0
1349273.193	0.0
1355349.972	0.001
1361025.3765	0.0
1367100.1895	0.002
1372274.193	0.002
1377508.1795	0.002
1386488.4015	0.0
1395697.7135	0.0
1402320.2665	0.001
1407827.588	0.001
1412874.634	0.001
1418404.489	0.001
1424935.6525	0.002
1430861.1185	0.001
1436220.289	0.003
1441190.3225	0.003
1446262.1085	0.001
1452177.352	0.0
1457752.0935	0.002
1462703.4855	0.001
1468238.651	0.001
1474990.877	0.001
1480848.077	0.001
1486807.343	0.001
1492286.8155	0.001
1497980.591	0.001
1503706.6675	0.0
1508746.414	0.001
1514755.4375	0.001
1521742.7655	0.003
1527637.543	0.001
1532816.7765	0.002
1538226.0415	0.003
1544376.513	0.0
1550018.021	0.001
1555505.021	0.001
1561024.104	0.001
1567382.77	0.001
1576060.185	0.001
1584102.5335	0.001
1591994.3915	0.001
1598962.4655	0.0
1605711.6645	0.001
1611728.1405	0.0
1617102.135	0.001
1622639.3895	0.001
1628260.258	0.003
1640584.8715	0.0
1647971.559	0.001
1653930.864	0.001
1659411.218	0.0
1665730.2875	0.0
1671875.747	0.002
1676848.866	0.003
1681935.1655	0.001
1687367.3985	0.001
1693496.5835	0.001
1698943.6745	0.003
1704205.5025	0.001
1709192.021	0.0
1714498.677	0.001
1720723.6025	0.0
1728699.7185	0.001
1735484.065	0.001
1741473.5875	0.001
1747494.2195	0.001
1753057.9875	0.003
1759965.967	0.001
1765436.2065	0.002
1771043.094	0.002
1776125.9235	0.004
1781173.5475	0.001
1787047.335	0.002
1792980.1275	0.002
1799178.896	0.002
1805380.284	0.003
1810537.9885	0.001
1818353.032	0.0
1826354.7825	0.0
1831802.9785	0.001
1844727.183	0.0
1860497.918	0.001
1871073.027	0.0
1880384.0085	0.0
1886767.652	0.0
1892806.6995	0.0
1898491.9705	0.0
1904368.549	0.0
1910091.1845	0.001
1915800.7865	0.0
1922224.2915	0.001
1928093.022	0.002
1933604.8335	0.002
1939399.0495	0.004
1945448.6115	0.001
1951735.962	0.001
1957071.292	0.001
1963113.109	0.001
1969457.4035	0.001
1977251.241	0.001
1983658.7125	0.0
1989404.315	0.002
1994478.8515	0.002
1999724.5945	0.002
2005315.841	0.001
2010405.6415	0.001
2015525.448	0.002
2020841.023	0.003
2027053.93	0.003
2033280.899	0.004
2039444.3575	0.003
2045428.089	0.003
2051929.159	0.005
2058013.07	0.001
2064148.247	0.002
2069767.1525	0.003
2075578.33	0.001
2081104.754	0.002
2094234.4425	0.004
2102814.602	0.005
2108385.2355	0.002
2113523.398	0.002
2119053.596	0.002
2124324.3845	0.002
2129513.562	0.006
2134399.7505	0.003
2139307.271	0.002
2144530.8735	0.004
2150793.757	0.001
2160961.8415	0.004
2167837.008	0.004
2174609.9365	0.005
2180572.473	0.001
2185930.69	0.001
2191441.5005	0.002
2196679.061	0.003
2201974.593	0.002
2208310.516	0.001
2214711.588	0.0
2220943.7175	0.0
2227361.7035	0.001
2234514.5955	0.0
2243297.622	0.004
2249280.797	0.006
2254622.3475	0.001
2261021.859	0.001
2269451.396	0.0
2278292.6465	0.0
2284456.532	0.0
2290721.759	0.002
2296715.5475	0.001
2303300.83	0.0
2308774.493	0.001
2313904.5965	0.002
2319389.581	0.001
2324922.266	0.001
2331081.316	0.001
2337583.721	0.001
2343608.403	0.001
2348805.524	0.001
2355053.424	0.001
2361539.388	0.002
2366886.3025	0.0
2373051.738	0.001
2380058.5405	0.001
2388630.6855	0.0
2394048.6915	0.001
2399613.8255	0.001
2405292.83	0.001
2410653.733	0.001
2416324.309	0.001
2422905.6765	0.002
2428063.9215	0.003
2433441.609	0.004
2439265.241	0.0
2445384.1795	0.001
2450747.7775	0.002
2456064.3955	0.002
2461071.106	0.003
2466416.2505	0.005
2471889.171	0.002
2479927.076	0.004
2487491.056	0.002
2493992.4175	0.002
2500109.5755	0.0
2505215.5975	0.003
2510036.181	0.005
2515096.2695	0.003
2520349.219	0.002
2525271.399	0.005
2530245.7065	0.001
2535221.249	0.002
2540331.408	0.002
2546282.2945	0.0
2552011.284	0.002
2557721.1835	0.001
2564156.654	0.001
2569543.1905	0.002
2576324.302	0.001
2582880.865	0.002
2587999.641	0.001
2595625.5175	0.0
2607006.551	0.0
2613287.069	0.001
2619246.3005	0.001
2624785.327	0.0
2630252.2095	0.0
2635710.78	0.001
2641049.0115	0.001
2647184.8955	0.001
2653712.162	0.002
2659062.2455	0.002
2664573.364	0.002
2669978.55	0.002
2675412.299	0.002
2681052.7235	0.001
2686403.3775	0.002
2691344.767	0.007
2696210.304	0.004
2701778.3545	0.003
2707714.732	0.001
2714167.1195	0.002
2719760.7075	0.004
2724937.783	0.003
2731005.0445	0.004
2736269.878	0.004
2741342.314	0.003
2746814.577	0.004
2752213.1645	0.006
2757208.0295	0.005
2762158.436	0.008
2767223.1385	0.009
2772409.098	0.007
2778263.024	0.005
2784995.1625	0.002
2791160.545	0.003
2797757.74	0.0
2803389.237	0.002
2808836.372	0.0
2815880.628	0.003
2822926.2285	0.0
2829044.4295	0.002
2834319.7395	0.008
2839481.9955	0.004
2844516.303	0.004
2849736.615	0.004
2854603.874	0.004
2859867.2865	0.004
2865514.3565	0.0
2871998.923	0.002
2877157.8	0.002
2882597.06	0.002
2888906.0715	0.002
2894345.208	0.001
2901086.8805	0.001
2913713.4335	0.007
2919161.4275	0.006
2924549.801	0.004
2933637.727	0.002
2942506.218	0.004
2947785.7335	0.003
2952863.142	0.006
2957828.9725	0.003
2963339.701	0.001
2968639.8755	0.001
2973655.572	0.001
2980698.553	0.002
2992787.1065	0.002
2999570.121	0.006
3004765.3755	0.008
3009758.36	0.014
3014716.598	0.006
3020512.205	0.002
3026109.8005	0.001
3031795.3085	0.005
3037435.1705	0.014
3043424.113	0.008
3053916.7315	0.013
3064612.4735	0.005
3069826.234	0.002
3074835.3785	0.004
3080652.3865	0.007
3088020.5655	0.009
3093789.571	0.004
3098909.1955	0.002
3104138.488	0.002
3109192.586	0.001
3114138.275	0.002
3119536.8205	0.001
3124730.3635	0.001
3129627.1255	0.001
3135308.1185	0.002
3140498.4515	0.002
3146112.965	0.002
3151888.1995	0.002
3157281.9685	0.004
3162891.7625	0.001
3168683.1005	0.001
3174861.9385	0.001
3181028.6035	0.004
3186818.551	0.001
3191999.386	0.002
3197128.946	0.001
3202407.1265	0.002
3208945.296	0.002
3215338.3055	0.002
3221637.0735	0.004
3226808.647	0.005
3231718.0015	0.003
3236978.1125	0.004
3243464.5385	0.002
3249335.6955	0.0
3254475.4135	0.004
3259674.4525	0.004
3265686.3115	0.003
3270966.302	0.003
3276152.168	0.006
3295282.9075	0.001
3341221.8505	0.0
3356062.601	0.002
3361505.2965	0.002
3366958.5375	0.007
3373871.404	0.008
3379676.471	0.004
3385849.3005	0.002
3393413.047	0.001
3399744.3395	0.001
3405359.395	0.003
3410615.811	0.002
3415985.04	0.002
3421846.9405	0.002
3428035.688	0.001
3435198.8955	0.002
3442002.5665	0.002
3448450.07	0.001
3454380.491	0.002
3460065.187	0.003
3465525.2535	0.002
3470872.499	0.006
3476165.624	0.004
3481268.404	0.004
3486274.806	0.005
3491564.0745	0.006
3497175.133	0.004
3502946.969	0.003
3508821.0695	0.003
3515229.0555	0.002
3520518.405	0.002
3526172.05	0.001
3532179.2455	0.002
3537995.4905	0.003
3544093.0505	0.002
3549799.3	0.005
3555091.2085	0.006
3560858.923	0.002
3568631.222	0.002
3574609.054	0.001
3580220.0995	0.002
3586419.3365	0.003
3591796.041	0.002
3597378.1305	0.001
3602852.0575	0.0
3609908.3455	0.001
3616004.038	0.002
3624646.46	0.003
3631308.292	0.001
3637798.1955	0.002
3643881.811	0.003
3650729.232	0.002
3656640.3655	0.001
3662655.215	0.001
3670204.9825	0.001
3678426.7045	0.003
3684303.4625	0.001
3692803.205	0.002
3699474.791	0.002
3706122.957	0.002
3712855.444	0.001
3718777.3225	0.002
3724207.6635	0.001
3730243.72	0.001
3736491.544	0.001
3742152.4035	0.001
3747752.42	0.002
3753385.7415	0.001
3760082.5015	0.0
3767403.7805	0.001
3773954.7645	0.001
3780401.4465	0.002
3786310.8575	0.001
3792913.0145	0.006
3798690.1225	0.002
3806452.3365	0.001
3812702.366	0.001
3818301.0115	0.002
3824480.792	0.002
3832502.656	0.002
3838470.1335	0.001
3844828.3895	0.0
3851754.752	0.0
3858134.8285	0.001
3863837.697	0.001
3869575.737	0.002
3875710.854	0.002
3881384.947	0.002
3887485.754	0.003
3894314.1535	0.001
3902543.8825	0.002
3910438.6955	0.004
3915673.874	0.003
3921024.002	0.004
3926129.3325	0.004
3931518.755	0.001
3941853.6275	0.001
3948924.511	0.001
3954891.8135	0.001
3962875.589	0.001
3968802.662	0.001
3975594.716	0.001
3982515.1795	0.001
3989421.2255	0.001
3996494.7745	0.001
4003906.6925	0.004
4009838.331	0.002
4017563.763	0.002
4024743.341	0.002
4031328.1985	0.002
4037491.7125	0.006
4043430.523	0.002
4050387.423	0.003
4056789.7545	0.002
4063090.1535	0.002
4068938.287	0.003
4075736.2535	0.003
4082071.96	0.001
4087616.136	0.002
4095119.5485	0.002
4102520.342	0.003
4108623.5465	0.001
4114328.834	0.0
4120004.823	0.001
4125480.408	0.0
4130954.1425	0.0
4136504.566	0.003
4142926.8595	0.002
4149755.9855	0.002
4155489.3465	0.002
4161054.406	0.002
4166721.551	0.002
4173005.586	0.001
4179564.0415	0.005
4184870.741	0.004
4189969.801	0.002
4194995.402	0.002
4200289.3935	0.002
4205512.201	0.002
4210802.3765	0.004
4216855.9265	0.003
4222336.605	0.002
4227380.3515	0.01
4232316.814	0.004
4238824.031	0.002
4244766.027	0.016
4250793.2685	0.005
4256971.9065	0.003
4262617.295	0.002
4268451.2575	0.002
4275789.271	0.001
4282022.11	0.002
4287363.9545	0.002
4292570.4555	0.003
4297672.334	0.006
4303434.146	0.004
4309719.8955	0.002
4316360.2815	0.003
4323186.157	0.001
4329265.241	0.006
4334902.572	0.009
4340253.542	0.007
4345236.478	0.007
4350551.1885	0.008
4355572.2585	0.007
4360770.299	0.009
4366466.075	0.002
4372423.4065	0.002
4377745.615	0.004
4383087.6315	0.007
4388372.735	0.005
4394520.4045	0.002
4399909.524	0.005
4405294.068	0.003
4410822.679	0.006
4417349.598	0.001
4424876.962	0.001
4431373.897	0.002
4437922.824	0.001
4444774.3765	0.008
4450107.0	0.003
4455852.869	0.004
4461603.0165	0.001
4467372.7525	0.003
4473451.0615	0.007
4480039.7455	0.003
4487606.3695	0.003
4494573.444	0.004
4501005.279	0.006
4506461.112	0.008
4513763.1095	0.008
4520649.171	0.003
4527298.1695	0.005
4532757.4275	0.011
4537946.1435	0.011
4544646.5525	0.007
4550044.151	0.005
4555079.5785	0.004
4560557.182	0.004
4567069.8835	0.006
4573813.9955	0.006
4579614.5755	0.004
4585076.5535	0.006
4590461.917	0.006
4596509.663	0.005
4603179.8285	0.004
4612117.6245	0.003
4619221.1345	0.001
4625790.2175	0.002
4633216.223	0.002
4639716.4455	0.002
4645482.2305	0.002
4651516.8465	0.009
4657184.304	0.002
4664624.8605	0.001
4672216.692	0.001
4687692.4725	0.003
4694743.6705	0.002
4702020.438	0.003
4709461.583	0.001
4717623.126	0.002
4724872.733	0.003
4732767.033	0.007
4738494.9755	0.008
4744180.5505	0.002
4750578.2	0.001
4756725.6055	0.002
4762375.25	0.002
4768071.014	0.001
4773995.6295	0.005
4780299.5505	0.004
4786878.246	0.002
4793715.712	0.002
4799575.2595	0.001
4805486.647	0.0
4811997.709	0.005
4818793.7635	0.002
4824835.6295	0.003
4831137.8905	0.002
4836989.021	0.001
4842805.8955	0.003
4849315.4645	0.004
4854844.918	0.005
4859810.8135	0.007
4865651.912	0.004
4872264.577	0.002
4880278.4195	0.0
4886597.8355	0.001
4892830.9025	0.001
4899239.2035	0.001
4904705.2635	0.001
4910832.7785	0.003
4917136.168	0.002
4923929.841	0.001
4931457.3285	0.004
4939018.1315	0.001
4944368.8625	0.004
4950125.335	0.004
4955965.301	0.007
4961890.145	0.003
4967146.562	0.003
4972638.8105	0.005
4978612.456	0.003
4986936.2195	0.004
4993246.7055	0.003
4999565.2325	0.004
5005960.7465	0.002
5011466.536	0.003
5017416.863	0.003
5022763.6495	0.003
5027673.5575	0.007
5032985.7935	0.002
5038274.6465	0.004
5043941.1715	0.002
5050658.992	0.002
5057582.2305	0.002
5064076.196	0.002
5069948.7215	0.003
5075541.3335	0.003
5081886.0225	0.003
5087532.673	0.002
5093393.365	0.005
5099374.7065	0.0
5105845.709	0.001
5111382.719	0.002
5116615.9835	0.004
5122363.631	0.004
5128136.566	0.008
5134474.2615	0.004
5140263.9775	0.003
5146334.5645	0.001
5153024.193	0.003
5159525.2285	0.002
5165524.019	0.004
5171439.5475	0.004
5176992.683	0.003
5183160.6025	0.004
5189208.104	0.002
5195961.6595	0.002
5202589.038	0.004
5209615.1155	0.003
5216429.406	0.006
5222245.178	0.002
5228855.891	0.001
5235962.52	0.001
5242122.567	0.002
5248056.614	0.002
5253853.335	0.001
5260088.864	0.001
5265722.236	0.001
5271529.8875	0.004
5277277.887	0.002
5282678.0135	0.003
5288909.1605	0.002
5294992.082	0.002
5300962.7315	0.002
5306695.864	0.003
5313361.1015	0.001
5319990.111	0.001
5327067.3975	0.001
5333083.2245	0.002
5338604.2735	0.002
5344855.9045	0.004
5350396.966	0.002
5355821.4515	0.002
5361927.8515	0.004
5367434.997	0.007
5372595.0925	0.004
5378358.7085	0.003
5383912.3215	0.004
5390107.6935	0.002
5395640.056	0.004
5401222.515	0.002
5406772.458	0.002
5415832.3305	0.001
5422906.2915	0.001
5428509.695	0.001
5434451.393	0.002
5440229.79	0.002
5445632.7605	0.003
5451316.3935	0.007
5457739.519	0.002
5468939.049	0.001
5476420.404	0.005
5481939.4315	0.008
5489812.8295	0.004
5496036.966	0.001
5502052.4175	0.002
5509421.7125	0.001
5516269.227	0.008
5523162.0595	0.004
5529354.7005	0.002
5536457.912	0.002
5543628.903	0.006
5549479.349	0.006
5554742.161	0.004
5560801.0785	0.006
5565988.1875	0.006
5571281.9425	0.003
5576837.7435	0.002
5582222.9855	0.004
5587386.816	0.004
5592862.742	0.004
5598558.949	0.001
5604666.3485	0.001
5611054.7365	0.0
5616862.3985	0.002
5623526.058	0.002
5629526.6205	0.003
5636278.261	0.004
5641518.5475	0.001
5646690.503	0.004
5651789.756	0.002
5657364.837	0.002
5663211.712	0.004
5668584.7355	0.005
5674692.3475	0.004
5682045.07	0.006
5688020.4945	0.005
5693230.6605	0.007
5698584.804	0.004
5704093.297	0.006
5709355.155	0.005
5715297.0465	0.004
5721965.2385	0.004
5728214.462	0.004
5734546.3545	0.007
5742616.1255	0.007
5749712.722	0.004
5755213.7105	0.003
5760780.7895	0.002
5767395.693	0.003
5773637.841	0.001
5779213.082	0.002
5784582.0805	0.002
5790337.618	0.006
5796930.0	0.003
5807876.5685	0.003
5814895.022	0.003
5820412.297	0.002
5826281.8175	0.003
5831843.1705	0.005
5837364.547	0.008
5842643.218	0.006
5848549.964	0.003
5857213.37	0.004
5863544.7485	0.003
5869095.654	0.005
5876017.6365	0.005
5884369.785	0.002
5894378.99	0.004
5903561.7475	0.006
5911229.559	0.005
5917741.967	0.005
5922836.6445	0.005
5928335.483	0.006
5933956.816	0.003
5939375.849	0.005
5944885.869	0.004
5950835.755	0.006
5957545.822	0.006
5962891.9045	0.007
5968530.467	0.004
5975848.838	0.002
5981203.0275	0.006
5986315.2685	0.008
5991636.781	0.004
5999103.6295	0.002
6005637.113	0.002
6013638.574	0.005
6019908.181	0.002
6026507.1765	0.006
6035205.231	0.002
