midpoint	h1x
36493.229	0.018
96000.438	0.0
157004.6595	0.016
174090.08	0.014
192003.046	0.273
220430.1925	0.097
243655.642	0.027
268302.58	0.278
294654.397	0.0
316919.325	0.0
335693.553	0.014
355321.0605	0.006
370106.3685	0.007
396688.812	0.009
415067.0695	0.058
432890.6835	0.116
452558.844	0.264
470581.5645	0.153
489183.013	0.249
516438.5975	0.062
542791.792	0.024
568058.6295	0.167
588917.536	0.174
606397.176	0.176
630994.414	0.251
640755.3825	0.109
648710.167	0.038
666837.9445	0.327
678231.5205	0.314
694013.1535	0.1
710124.8925	0.314
723568.1055	0.0
739065.055	0.036
750495.516	0.35
760263.293	0.266
769866.386	0.045
781972.1675	0.288
797099.336	0.165
820677.846	0.116
838428.538	0.04
859622.1125	0.313
879236.715	0.149
903020.011	0.019
925580.152	0.155
937716.691	0.135
947270.079	0.047
958085.9965	0.25
974563.162	0.319
985520.543	0.28
1001883.0265	0.014
1041262.847	0.019
1074190.3835	0.014
1093099.7405	0.204
1132694.6025	0.092
1147824.97	0.071
1172258.2615	0.131
1196715.81	0.116
1209658.768	0.031
1260153.7715	0.031
1276071.519	0.496
1284118.156	0.448
1295515.686	0.506
1319147.239	0.482
1333490.5225	0.011
1358699.668	0.136
1389534.2105	0.228
1413444.153	0.493
1427120.075	0.099
1470146.4805	0.0
1501536.952	0.123
1517884.9015	0.611
1527794.832	0.589
1538982.194	0.669
1547706.919	0.296
1557137.3535	0.152
1567307.874	0.669
1578775.584	0.003
1599029.3795	0.008
1618516.3575	0.011
1640616.704	0.677
1663394.1155	0.669
1690522.421	0.279
1705396.4415	0.133
1736193.2315	0.024
1778503.9345	0.281
1800467.826	0.093
1824035.6915	0.486
1840797.8085	0.645
1857078.4975	0.346
1872586.093	0.132
1898425.348	0.203
1919370.6155	0.258
1932730.9905	0.33
1948110.557	0.18
1961506.305	0.08
1971293.499	0.697
1987968.027	0.0
2006528.6405	0.783
2023000.478	0.661
2041132.046	0.443
2050786.515	0.653
2063637.3005	0.218
2076603.1205	0.408
2089140.342	0.697
2108118.3375	0.754
2118477.4125	0.301
2135207.5055	0.394
2163983.961	0.583
2223839.2275	0.152
2272556.8235	0.71
2287253.1295	0.747
2321144.234	0.39
2354159.3	0.767
2367467.5135	0.4
2382625.0875	0.336
2393570.345	0.776
2407207.416	0.833
2422069.806	0.708
2431674.5795	0.011
2444031.5025	0.278
2479162.4565	0.321
2496357.9075	0.362
2525098.8605	0.789
2539850.0275	0.778
2554033.643	0.448
2567790.0155	0.749
2577082.6915	0.554
2585850.7135	0.443
2595845.99	0.365
2606459.0065	0.25
2616392.4905	0.554
2626211.642	0.544
2638284.3065	0.496
2647409.401	0.548
2668506.2035	0.57
2685960.6705	0.554
2697025.83	0.565
2706838.221	0.538
2723745.3145	0.586
2733123.535	0.292
2750496.163	0.561
2765184.372	0.116
2791920.4545	0.212
2804211.945	0.602
2815621.052	0.544
2827014.452	0.59
2838481.4105	0.554
2856537.663	0.544
2876463.52	0.544
2893155.22	0.55
2906478.7945	0.535
2915500.0325	0.486
2925954.7305	0.471
2938671.1685	0.265
2954284.3395	0.555
2963644.2635	0.581
2972009.3975	0.581
2984534.872	0.54
3001489.0335	0.472
3010489.343	0.514
3022210.062	0.458
3030433.053	0.49
3037880.938	0.44
3045375.607	0.416
3052797.962	0.416
3062041.0905	0.418
3070414.5865	0.406
3085017.4525	0.136
3093543.3375	0.368
3104967.4865	0.387
3113277.6225	0.4
3119600.6235	0.302
3126112.765	0.387
3140818.0985	0.074
3156014.432	0.369
3166325.21	0.358
3173036.855	0.359
3182415.0735	0.368
3192448.1045	0.336
3204563.8245	0.298
3211185.146	0.347
3220369.681	0.293
3232059.508	0.317
3238228.64	0.282
3244175.879	0.266
3250422.4675	0.264
3256476.466	0.264
3263584.9705	0.264
3272532.2945	0.283
3280242.28	0.118
3287421.075	0.283
3297701.713	0.038
3304073.6435	0.044
3309663.7525	0.038
3318879.0525	0.028
3345868.9855	0.024
3356442.9795	0.036
3377767.756	0.023
3383510.17	0.018
3389165.244	0.027
3395971.936	0.02
3402281.5455	0.018
3408515.2185	0.022
3414686.189	0.013
3422083.4375	0.013
3429182.7445	0.019
