midpoint	h12
44235.388	0.082
69610.343	0.121
78057.1065	0.072
100296.028	0.037
113347.2845	0.07
122381.021	0.063
135887.632	0.087
162576.399	0.203
177985.8065	0.054
204618.797	0.052
274597.857	0.05
299037.2565	0.165
332907.229	0.163
347309.2075	0.103
362180.3935	0.033
371403.8275	0.102
379513.8805	0.102
390974.0675	0.127
445383.0585	0.104
524091.3905	0.042
546757.7455	0.049
585774.3025	0.038
621641.9605	0.113
640942.724	0.132
655318.8345	0.059
667097.908	0.165
696463.926	0.037
724761.9395	0.038
737965.4705	0.08
752303.36	0.144
767834.3805	0.05
780822.892	0.191
794329.2545	0.236
803404.005	0.195
817608.9045	0.068
829902.1315	0.103
839901.5935	0.089
849087.3425	0.107
861677.5015	0.166
871873.281	0.113
883169.515	0.06
907504.0785	0.134
934982.446	0.046
957560.39	0.031
971317.337	0.072
986826.958	0.058
1014408.0065	0.106
1040361.397	0.043
1090372.6405	0.068
1105828.9365	0.051
1122436.4305	0.046
1137483.2075	0.126
1150448.779	0.138
1190266.7785	0.027
1239575.6725	0.092
1247849.3315	0.124
1263266.5375	0.131
1277815.7905	0.167
1288160.8435	0.094
1296470.4275	0.128
1312297.8395	0.173
1333275.134	0.099
1356141.767	0.133
1383250.6245	0.099
1427477.8835	0.054
1475664.2615	0.024
1489780.0525	0.029
1499140.3445	0.112
1513379.9995	0.036
1529320.296	0.036
1543785.421	0.154
1555943.2295	0.336
1564190.74	0.213
1573992.407	0.268
1586307.3805	0.143
1599578.5285	0.137
1609378.588	0.153
1616800.6825	0.125
1624860.465	0.253
1635471.826	0.132
1646276.0695	0.125
1654187.634	0.214
1668378.8635	0.098
1709776.333	0.116
1726441.2255	0.163
1735137.354	0.128
1744164.772	0.141
1756767.544	0.062
1766938.3055	0.091
1774736.661	0.171
1783627.224	0.151
1795092.268	0.089
1807468.166	0.172
1815513.2735	0.064
1834143.0175	0.149
1847390.7315	0.112
1855856.9245	0.137
1864367.1045	0.059
1881832.31	0.098
1890343.6145	0.123
1898291.4	0.106
1906606.0735	0.134
1915282.281	0.124
1934056.799	0.081
1946156.834	0.173
1955455.16	0.106
1966045.966	0.116
1973946.0295	0.15
1981496.4625	0.1
1988806.1405	0.113
1996282.6505	0.099
2003944.788	0.128
2011269.815	0.108
2018975.9365	0.153
2026803.34	0.102
2034602.37	0.118
2042141.9425	0.122
2049700.078	0.126
2058519.2355	0.097
2067912.411	0.1
2075566.2825	0.128
2084963.578	0.087
2093839.489	0.119
2104206.9785	0.099
2112198.8765	0.118
2120879.503	0.131
2129122.531	0.229
2136797.543	0.114
2146574.049	0.114
2155187.116	0.169
2162740.107	0.099
2170565.2015	0.123
2178198.5615	0.156
2185782.6135	0.111
2197067.642	0.088
2206567.139	0.127
2213853.034	0.203
2221026.883	0.083
2228571.145	0.149
2240457.5015	0.117
2248858.4185	0.161
2256418.443	0.155
2263272.624	0.111
2270574.4145	0.241
2278063.2425	0.121
2286663.6455	0.154
2308640.2725	0.095
2330386.0275	0.091
2348262.788	0.107
2359744.0575	0.091
2369611.697	0.091
2377224.124	0.179
2387940.892	0.103
2395961.405	0.184
2406514.7185	0.119
2415517.8945	0.108
2423135.6395	0.173
2433016.5455	0.101
2442290.013	0.155
2450734.496	0.149
2458015.6665	0.091
2471546.6195	0.107
2479288.303	0.078
2486406.2785	0.136
2493422.832	0.116
2501268.376	0.079
2508550.8805	0.107
2517471.81	0.105
2530665.0475	0.102
2544759.2125	0.089
2554703.309	0.102
2562061.28	0.136
2573108.7475	0.101
2586819.8175	0.126
2599235.1435	0.136
2610023.976	0.127
2618413.7545	0.127
2627279.596	0.107
2634700.505	0.098
2645127.6315	0.146
2656480.4455	0.099
2671017.906	0.116
2678042.8195	0.135
2689800.472	0.123
2702663.402	0.09
2710234.7295	0.117
2718324.6545	0.103
2753333.3285	0.042
2768993.331	0.126
2777299.0	0.112
2786048.54	0.123
2802588.582	0.104
2816607.039	0.087
2823392.629	0.075
2830471.5035	0.106
2840012.953	0.097
2847337.175	0.098
2855736.2655	0.073
2865887.8755	0.096
2875704.945	0.091
2883824.4995	0.128
2892643.057	0.087
2903191.6415	0.104
2909540.3675	0.081
2916295.974	0.091
2923040.446	0.093
2929762.0545	0.098
2936468.3325	0.097
2944109.1735	0.123
2953722.696	0.098
2975081.2785	0.092
2985049.319	0.112
2995651.5615	0.118
3007588.428	0.104
3017411.145	0.092
3031001.3655	0.09
3043300.6225	0.088
3051578.3295	0.1
3059693.8185	0.122
3067060.2465	0.094
3074851.894	0.113
3089391.507	0.106
3099428.1025	0.089
3107095.6135	0.092
3116181.7825	0.142
3130227.611	0.106
3142456.7	0.118
3149681.3065	0.095
3156868.442	0.091
3164677.613	0.109
3175636.5375	0.112
3185097.241	0.207
3193910.17	0.101
3212711.893	0.075
3224147.2555	0.126
3231673.7655	0.097
3238484.8945	0.053
3245771.4775	0.095
3257770.7755	0.101
3266437.534	0.119
3273562.078	0.055
3281139.002	0.069
3288705.8995	0.133
3305992.54	0.131
3313602.6725	0.104
3321895.2915	0.124
3330052.6045	0.089
3337180.7595	0.087
3344779.9375	0.133
3354335.0455	0.101
3368326.0605	0.108
3376525.638	0.108
3383362.291	0.095
3390470.0165	0.116
3397765.7905	0.113
3404792.1935	0.121
3411794.5875	0.111
3418722.3195	0.113
3425399.745	0.102
3432366.8675	0.134
3439091.915	0.114
3445639.902	0.113
3452281.6355	0.099
3459036.538	0.101
3466029.4865	0.116
3477506.577	0.112
3486120.7495	0.093
3493182.1485	0.102
3500713.034	0.118
3508293.1075	0.114
3516378.051	0.112
3526055.355	0.103
3532919.4345	0.126
3540211.3905	0.117
3547486.4435	0.143
3554656.5465	0.107
3562278.598	0.133
3570007.88	0.138
3577953.397	0.12
3585721.385	0.111
3593463.976	0.111
3600556.623	0.104
3607923.414	0.103
3614614.419	0.117
3622563.805	0.119
3631911.514	0.136
3638751.8465	0.148
3646140.227	0.141
3655712.2065	0.073
3662624.5305	0.112
3672426.307	0.145
3682479.763	0.111
3689939.86	0.123
3697861.339	0.137
3705988.3345	0.123
3713408.105	0.123
3721291.0315	0.113
3729680.662	0.116
3742199.6305	0.109
3751183.914	0.137
3759308.8285	0.12
3766765.833	0.129
3776134.8965	0.109
3793429.8025	0.091
3804515.701	0.099
3811809.4435	0.11
3819207.0935	0.116
3828922.0725	0.104
3844274.381	0.111
3862779.668	0.122
3870393.56	0.09
3878380.1985	0.127
3886277.3545	0.099
3894371.241	0.127
3901358.6385	0.128
3908330.0765	0.129
3916143.632	0.093
3923512.8735	0.088
3932073.646	0.088
3941074.334	0.106
3948210.882	0.106
3955210.266	0.103
3966615.643	0.087
3975027.7305	0.112
3985901.0745	0.113
4006903.6215	0.085
4018893.2825	0.104
4027112.355	0.116
4035389.0835	0.097
4045085.474	0.086
4053568.781	0.114
4062838.6005	0.105
4074624.4095	0.083
4085770.669	0.096
4093352.247	0.11
4101435.602	0.078
4111640.8735	0.104
4119740.6705	0.107
4127995.159	0.103
4135982.665	0.101
4147659.7775	0.094
4162047.9635	0.099
4169531.301	0.137
4178875.1865	0.108
4192783.5065	0.069
4215055.984	0.097
4222084.9185	0.086
4229397.052	0.093
4237400.3345	0.133
4266991.4985	0.098
4281374.1465	0.076
4292904.4175	0.113
4311566.5845	0.108
4324709.693	0.061
4346252.043	0.044
4378145.6135	0.04
4391942.451	0.109
4402898.725	0.103
4416708.539	0.072
4475184.442	0.028
4544275.95	0.026
4603671.2275	0.023
4650925.226	0.031
4712889.6475	0.037
4744696.2285	0.081
4783387.9245	0.052
4810664.8005	0.092
4817416.839	0.079
4826971.939	0.104
4834990.748	0.157
4842647.5565	0.093
4850651.6845	0.091
4858034.2205	0.107
4865941.2295	0.109
4874206.9455	0.092
4884108.5875	0.098
4904621.4195	0.12
4912294.791	0.091
4919815.416	0.115
4928565.7975	0.092
4938988.712	0.089
4975995.0795	0.036
5001284.5325	0.099
5013233.272	0.103
5020618.1695	0.091
5029286.704	0.102
5037280.403	0.102
5049623.331	0.109
5057356.655	0.107
5065494.015	0.116
5073744.104	0.125
5083625.019	0.104
5102231.408	0.108
5110080.266	0.105
5117337.3545	0.116
5124757.456	0.095
5133665.6145	0.12
5140998.559	0.083
5152269.5375	0.134
5160812.82	0.123
5170445.979	0.115
5178116.44	0.099
5185652.4625	0.098
5192893.661	0.107
5200125.246	0.112
5207620.9275	0.115
5215180.9685	0.128
5226562.15	0.086
5239315.12	0.128
5246790.4515	0.088
5256794.7065	0.063
5264628.677	0.112
5271524.327	0.128
5278558.675	0.096
5295520.8195	0.108
5309061.349	0.114
5316002.4935	0.098
5323194.3195	0.098
5330394.872	0.116
5338210.411	0.114
5345975.8885	0.119
5353566.46	0.118
5360669.521	0.116
5367892.5485	0.078
5375054.062	0.108
5381945.74	0.118
5388447.837	0.108
5395890.644	0.114
5408421.0965	0.109
5415690.4895	0.103
5422852.2135	0.108
5430021.2135	0.097
5437332.8735	0.098
5444993.0755	0.105
