midpoint	h1x
3052.016	0.102
12408.375	0.056
20875.3805	0.118
28623.6565	0.09
35885.999	0.059
42635.615	0.07
48702.212	0.03
55329.299	0.033
63488.9915	0.03
70585.054	0.03
77121.5235	0.046
83497.1425	0.069
89321.1505	0.087
96518.2945	0.057
104594.8005	0.056
110818.241	0.043
116890.48	0.019
122996.434	0.037
129045.3985	0.025
134950.1245	0.036
140868.7305	0.014
147237.472	0.019
153001.452	0.011
158655.298	0.018
164671.101	0.017
170447.1055	0.016
175897.091	0.011
181584.5165	0.066
187346.638	0.016
193339.0485	0.035
198990.8505	0.038
204258.8415	0.018
210059.366	0.012
215869.7675	0.013
221650.398	0.016
227363.8875	0.019
232940.347	0.016
239781.173	0.009
246100.7	0.015
251378.2195	0.011
256902.1735	0.012
262131.857	0.012
267201.7155	0.016
272247.941	0.014
277424.7315	0.015
282541.2305	0.012
287703.8345	0.018
293634.5215	0.015
300072.358	0.01
307839.112	0.012
312976.972	0.01
318197.4765	0.012
323352.1595	0.013
328971.6025	0.009
334854.1835	0.011
341656.9805	0.009
348565.365	0.007
354994.156	0.01
360660.699	0.008
366156.3375	0.006
372483.6925	0.004
378510.375	0.008
383903.9025	0.009
389337.923	0.01
395301.513	0.008
401141.4395	0.006
406610.7445	0.005
411723.223	0.003
417165.178	0.006
422388.0985	0.006
427485.928	0.004
432363.5825	0.003
437688.3135	0.005
443204.424	0.002
448190.2005	0.006
453357.743	0.005
459620.074	0.005
465240.8605	0.005
470676.1985	0.005
475889.501	0.003
481154.647	0.008
486345.938	0.004
491721.537	0.003
496736.8825	0.005
502010.556	0.004
507266.102	0.006
512540.429	0.007
517897.495	0.006
522847.478	0.006
527914.6475	0.003
534854.5355	0.002
543162.6555	0.002
552049.619	0.0
558439.4275	0.005
564287.9495	0.001
569917.3295	0.005
575169.6835	0.005
581361.2385	0.001
588273.556	0.001
595161.979	0.001
602158.463	0.001
609267.666	0.0
616144.607	0.001
623228.276	0.0
629835.472	0.001
635323.489	0.0
640808.852	0.001
646244.6805	0.0
654320.1125	0.0
661732.7505	0.003
669486.2425	0.002
676085.3555	0.001
682658.9625	0.001
688379.9925	0.001
693838.6655	0.001
699993.0555	0.001
707492.043	0.0
714552.6035	0.0
720637.1965	0.0
725917.172	0.0
730924.0585	0.0
736267.4645	0.0
741727.6665	0.0
747762.4455	0.0
755330.8475	0.001
760968.0845	0.0
766164.2495	0.0
771374.3875	0.0
776685.539	0.0
782706.1555	0.004
790340.109	0.001
797060.2485	0.0
804857.446	0.0
810916.111	0.0
816455.1025	0.0
821994.6675	0.0
827585.091	0.0
832807.2695	0.0
838327.4465	0.0
843628.707	0.0
849711.2545	0.0
855257.0335	0.0
861672.449	0.0
867117.0845	0.001
873024.0715	0.0
878750.227	0.0
884107.217	0.0
889622.2305	0.0
894884.4695	0.0
900370.686	0.003
906305.2545	0.002
913443.981	0.002
919644.5325	0.001
925115.0435	0.001
931009.507	0.001
936729.3715	0.001
942229.55	0.001
948024.1275	0.001
956998.5615	0.0
963500.904	0.0
970653.6155	0.0
977258.0775	0.0
983210.8395	0.0
990619.417	0.0
996840.313	0.001
1002587.072	0.0
1009972.4485	0.001
1016043.073	0.001
1021610.782	0.001
1028249.4105	0.0
1036199.121	0.0
1043531.877	0.0
1050605.94	0.0
1055808.0875	0.001
1061766.612	0.0
1067952.635	0.0
1076129.52	0.0
1084668.655	0.0
1092436.569	0.0
1098673.1565	0.0
1104454.914	0.0
1110284.592	0.0
1116328.159	0.009
1123551.248	0.0
1129102.987	0.0
1135396.6515	0.0
1142505.2705	0.001
1149820.4985	0.0
1156124.9215	0.0
1161876.731	0.0
1167696.12	0.0
1173185.5785	0.0
1178955.4175	0.0
1184441.6195	0.0
1190613.92	0.0
1196964.5365	0.001
1203250.6385	0.001
1208323.251	0.001
1214131.999	0.0
1219987.5685	0.0
1226462.208	0.0
1231812.8335	0.0
1238092.6005	0.0
1244976.855	0.0
1251218.783	0.0
1256793.8415	0.0
1262916.867	0.0
1269177.615	0.0
1274966.143	0.0
1280865.13	0.001
1285995.033	0.001
1291871.9595	0.0
1297328.622	0.0
1302422.2715	0.001
1308320.301	0.0
1313658.605	0.0
1319127.1015	0.0
1325157.005	0.0
1332954.7475	0.0
1341427.7075	0.0
1349273.193	0.001
1355349.972	0.001
1361025.3765	0.0
1367100.1895	0.0
1372274.193	0.0
1377508.1795	0.0
1386488.4015	0.0
1395697.7135	0.0
1402320.2665	0.0
1407827.588	0.0
1412874.634	0.0
1418404.489	0.0
1424935.6525	0.0
1430861.1185	0.0
1436220.289	0.0
1441190.3225	0.0
1446262.1085	0.0
1452177.352	0.0
1457752.0935	0.0
1462703.4855	0.0
1468238.651	0.0
1474990.877	0.0
1480848.077	0.0
1486807.343	0.0
1492286.8155	0.0
1497980.591	0.001
1503706.6675	0.0
1508746.414	0.0
1514755.4375	0.0
1521742.7655	0.0
1527637.543	0.001
1532816.7765	0.001
1538226.0415	0.001
1544376.513	0.0
1550018.021	0.0
1555505.021	0.0
1561024.104	0.0
1567382.77	0.0
1576060.185	0.001
1584102.5335	0.0
1591994.3915	0.0
1598962.4655	0.0
1605711.6645	0.0
1611728.1405	0.0
1617102.135	0.0
1622639.3895	0.0
1628260.258	0.0
1640584.8715	0.0
1647971.559	0.0
1653930.864	0.0
1659411.218	0.0
1665730.2875	0.0
1671875.747	0.0
1676848.866	0.0
1681935.1655	0.0
1687367.3985	0.0
1693496.5835	0.0
1698943.6745	0.0
1704205.5025	0.0
1709192.021	0.0
1714498.677	0.0
1720723.6025	0.0
1728699.7185	0.0
1735484.065	0.0
1741473.5875	0.0
1747494.2195	0.001
1753057.9875	0.0
1759965.967	0.0
1765436.2065	0.0
1771043.094	0.001
1776125.9235	0.001
1781173.5475	0.001
1787047.335	0.001
1792980.1275	0.001
1799178.896	0.001
1805380.284	0.001
1810537.9885	0.001
1818353.032	0.0
1826354.7825	0.0
1831802.9785	0.001
1844727.183	0.0
1860497.918	0.001
1871073.027	0.0
1880384.0085	0.0
1886767.652	0.0
1892806.6995	0.0
1898491.9705	0.0
1904368.549	0.0
1910091.1845	0.0
1915800.7865	0.0
1922224.2915	0.0
1928093.022	0.0
1933604.8335	0.0
1939399.0495	0.0
1945448.6115	0.0
1951735.962	0.0
1957071.292	0.0
1963113.109	0.0
1969457.4035	0.0
1977251.241	0.0
1983658.7125	0.0
1989404.315	0.0
1994478.8515	0.0
1999724.5945	0.0
2005315.841	0.0
2010405.6415	0.0
2015525.448	0.0
2020841.023	0.001
2027053.93	0.0
2033280.899	0.001
2039444.3575	0.0
2045428.089	0.0
2051929.159	0.0
2058013.07	0.0
2064148.247	0.0
2069767.1525	0.0
2075578.33	0.001
2081104.754	0.001
2094234.4425	0.001
2102814.602	0.001
2108385.2355	0.0
2113523.398	0.0
2119053.596	0.001
2124324.3845	0.0
2129513.562	0.001
2134399.7505	0.001
2139307.271	0.0
2144530.8735	0.001
2150793.757	0.0
2160961.8415	0.001
2167837.008	0.0
2174609.9365	0.0
2180572.473	0.0
2185930.69	0.0
2191441.5005	0.0
2196679.061	0.0
2201974.593	0.0
2208310.516	0.0
2214711.588	0.001
2220943.7175	0.0
2227361.7035	0.001
2234514.5955	0.001
2243297.622	0.0
2249280.797	0.0
2254622.3475	0.0
2261021.859	0.0
2269451.396	0.0
2278292.6465	0.0
2284456.532	0.0
2290721.759	0.0
2296715.5475	0.0
2303300.83	0.001
2308774.493	0.0
2313904.5965	0.0
2319389.581	0.0
2324922.266	0.0
2331081.316	0.0
2337583.721	0.0
2343608.403	0.0
2348805.524	0.0
2355053.424	0.0
2361539.388	0.0
2366886.3025	0.0
2373051.738	0.001
2380058.5405	0.0
2388630.6855	0.0
2394048.6915	0.0
2399613.8255	0.0
2405292.83	0.001
2410653.733	0.001
2416324.309	0.0
2422905.6765	0.0
2428063.9215	0.0
2433441.609	0.0
2439265.241	0.0
2445384.1795	0.0
2450747.7775	0.0
2456064.3955	0.0
2461071.106	0.0
2466416.2505	0.0
2471889.171	0.0
2479927.076	0.0
2487491.056	0.0
2493992.4175	0.0
2500109.5755	0.0
2505215.5975	0.0
2510036.181	0.001
2515096.2695	0.0
2520349.219	0.0
2525271.399	0.0
2530245.7065	0.0
2535221.249	0.0
2540331.408	0.0
2546282.2945	0.0
2552011.284	0.0
2557721.1835	0.0
2564156.654	0.0
2569543.1905	0.001
2576324.302	0.0
2582880.865	0.001
2587999.641	0.001
2595625.5175	0.001
2607006.551	0.0
2613287.069	0.001
2619246.3005	0.0
2624785.327	0.0
2630252.2095	0.001
2635710.78	0.0
2641049.0115	0.0
2647184.8955	0.001
2653712.162	0.001
2659062.2455	0.0
2664573.364	0.0
2669978.55	0.0
2675412.299	0.0
2681052.7235	0.001
2686403.3775	0.001
2691344.767	0.001
2696210.304	0.0
2701778.3545	0.0
2707714.732	0.0
2714167.1195	0.0
2719760.7075	0.0
2724937.783	0.0
2731005.0445	0.0
2736269.878	0.0
2741342.314	0.0
2746814.577	0.0
2752213.1645	0.0
2757208.0295	0.001
2762158.436	0.001
2767223.1385	0.001
2772409.098	0.0
2778263.024	0.0
2784995.1625	0.0
2791160.545	0.0
2797757.74	0.0
2803389.237	0.0
2808836.372	0.0
2815880.628	0.001
2822926.2285	0.001
2829044.4295	0.002
2834319.7395	0.002
2839481.9955	0.001
2844516.303	0.001
2849736.615	0.001
2854603.874	0.001
2859867.2865	0.001
2865514.3565	0.0
2871998.923	0.0
2877157.8	0.0
2882597.06	0.0
2888906.0715	0.001
2894345.208	0.001
2901086.8805	0.001
2913713.4335	0.002
2919161.4275	0.001
2924549.801	0.001
2933637.727	0.0
2942506.218	0.001
2947785.7335	0.001
2952863.142	0.001
2957828.9725	0.001
2963339.701	0.001
2968639.8755	0.0
2973655.572	0.0
2980698.553	0.0
2992787.1065	0.001
2999570.121	0.0
3004765.3755	0.0
3009758.36	0.001
3014716.598	0.0
3020512.205	0.0
3026109.8005	0.0
3031795.3085	0.0
3037435.1705	0.0
3043424.113	0.0
3053916.7315	0.007
3064612.4735	0.0
3069826.234	0.0
3074835.3785	0.0
3080652.3865	0.0
3088020.5655	0.001
3093789.571	0.001
3098909.1955	0.0
3104138.488	0.0
3109192.586	0.0
3114138.275	0.0
3119536.8205	0.0
3124730.3635	0.0
3129627.1255	0.0
3135308.1185	0.0
3140498.4515	0.0
3146112.965	0.0
3151888.1995	0.0
3157281.9685	0.0
3162891.7625	0.0
3168683.1005	0.0
3174861.9385	0.0
3181028.6035	0.0
3186818.551	0.0
3191999.386	0.001
3197128.946	0.001
3202407.1265	0.001
3208945.296	0.001
3215338.3055	0.001
3221637.0735	0.0
3226808.647	0.0
3231718.0015	0.0
3236978.1125	0.0
3243464.5385	0.0
3249335.6955	0.001
3254475.4135	0.001
3259674.4525	0.001
3265686.3115	0.001
3270966.302	0.001
3276152.168	0.001
3295282.9075	0.001
3341221.8505	0.0
3356062.601	0.0
3361505.2965	0.0
3366958.5375	0.0
3373871.404	0.0
3379676.471	0.0
3385849.3005	0.0
3393413.047	0.001
3399744.3395	0.001
3405359.395	0.002
3410615.811	0.002
3415985.04	0.001
3421846.9405	0.0
3428035.688	0.0
3435198.8955	0.0
3442002.5665	0.0
3448450.07	0.001
3454380.491	0.0
3460065.187	0.0
3465525.2535	0.0
3470872.499	0.001
3476165.624	0.001
3481268.404	0.0
3486274.806	0.0
3491564.0745	0.0
3497175.133	0.0
3502946.969	0.0
3508821.0695	0.001
3515229.0555	0.001
3520518.405	0.001
3526172.05	0.001
3532179.2455	0.0
3537995.4905	0.001
3544093.0505	0.0
3549799.3	0.001
3555091.2085	0.001
3560858.923	0.001
3568631.222	0.0
3574609.054	0.0
3580220.0995	0.0
3586419.3365	0.0
3591796.041	0.001
3597378.1305	0.001
3602852.0575	0.001
3609908.3455	0.001
3616004.038	0.001
3624646.46	0.0
3631308.292	0.0
3637798.1955	0.001
3643881.811	0.001
3650729.232	0.0
3656640.3655	0.0
3662655.215	0.0
3670204.9825	0.001
3678426.7045	0.0
3684303.4625	0.0
3692803.205	0.001
3699474.791	0.001
3706122.957	0.001
3712855.444	0.0
3718777.3225	0.0
3724207.6635	0.001
3730243.72	0.0
3736491.544	0.0
3742152.4035	0.0
3747752.42	0.0
3753385.7415	0.0
3760082.5015	0.001
3767403.7805	0.0
3773954.7645	0.0
3780401.4465	0.001
3786310.8575	0.001
3792913.0145	0.0
3798690.1225	0.0
3806452.3365	0.0
3812702.366	0.0
3818301.0115	0.0
3824480.792	0.0
3832502.656	0.0
3838470.1335	0.0
3844828.3895	0.0
3851754.752	0.001
3858134.8285	0.0
3863837.697	0.0
3869575.737	0.0
3875710.854	0.0
3881384.947	0.0
3887485.754	0.0
3894314.1535	0.001
3902543.8825	0.001
3910438.6955	0.001
3915673.874	0.0
3921024.002	0.001
3926129.3325	0.0
3931518.755	0.001
3941853.6275	0.0
3948924.511	0.001
3954891.8135	0.0
3962875.589	0.0
3968802.662	0.0
3975594.716	0.0
3982515.1795	0.001
3989421.2255	0.0
3996494.7745	0.0
4003906.6925	0.0
4009838.331	0.001
4017563.763	0.001
4024743.341	0.0
4031328.1985	0.001
4037491.7125	0.001
4043430.523	0.001
4050387.423	0.0
4056789.7545	0.0
4063090.1535	0.0
4068938.287	0.0
4075736.2535	0.0
4082071.96	0.0
4087616.136	0.0
4095119.5485	0.0
4102520.342	0.0
4108623.5465	0.0
4114328.834	0.0
4120004.823	0.0
4125480.408	0.0
4130954.1425	0.0
4136504.566	0.0
4142926.8595	0.001
4149755.9855	0.001
4155489.3465	0.0
4161054.406	0.0
4166721.551	0.0
4173005.586	0.0
4179564.0415	0.0
4184870.741	0.0
4189969.801	0.0
4194995.402	0.0
4200289.3935	0.0
4205512.201	0.0
4210802.3765	0.0
4216855.9265	0.0
4222336.605	0.0
4227380.3515	0.0
4232316.814	0.001
4238824.031	0.001
4244766.027	0.001
4250793.2685	0.001
4256971.9065	0.001
4262617.295	0.001
4268451.2575	0.0
4275789.271	0.001
4282022.11	0.001
4287363.9545	0.001
4292570.4555	0.001
4297672.334	0.0
4303434.146	0.0
4309719.8955	0.0
4316360.2815	0.0
4323186.157	0.001
4329265.241	0.0
4334902.572	0.001
4340253.542	0.001
4345236.478	0.001
4350551.1885	0.001
4355572.2585	0.001
4360770.299	0.001
4366466.075	0.0
4372423.4065	0.001
4377745.615	0.0
4383087.6315	0.0
4388372.735	0.0
4394520.4045	0.0
4399909.524	0.0
4405294.068	0.0
4410822.679	0.0
4417349.598	0.0
4424876.962	0.0
4431373.897	0.001
4437922.824	0.0
4444774.3765	0.0
4450107.0	0.001
4455852.869	0.0
4461603.0165	0.0
4467372.7525	0.001
4473451.0615	0.001
4480039.7455	0.0
4487606.3695	0.0
4494573.444	0.001
4501005.279	0.001
4506461.112	0.001
4513763.1095	0.001
4520649.171	0.001
4527298.1695	0.001
4532757.4275	0.0
4537946.1435	0.001
4544646.5525	0.001
4550044.151	0.001
4555079.5785	0.002
4560557.182	0.001
4567069.8835	0.001
4573813.9955	0.001
4579614.5755	0.0
4585076.5535	0.001
4590461.917	0.001
4596509.663	0.0
4603179.8285	0.001
4612117.6245	0.001
4619221.1345	0.0
4625790.2175	0.001
4633216.223	0.001
4639716.4455	0.001
4645482.2305	0.001
4651516.8465	0.001
4657184.304	0.001
4664624.8605	0.001
4672216.692	0.001
4687692.4725	0.001
4694743.6705	0.001
4702020.438	0.0
4709461.583	0.0
4717623.126	0.0
4724872.733	0.0
4732767.033	0.001
4738494.9755	0.001
4744180.5505	0.001
4750578.2	0.0
4756725.6055	0.0
4762375.25	0.0
4768071.014	0.0
4773995.6295	0.0
4780299.5505	0.0
4786878.246	0.0
4793715.712	0.0
4799575.2595	0.0
4805486.647	0.0
4811997.709	0.0
4818793.7635	0.0
4824835.6295	0.0
4831137.8905	0.0
4836989.021	0.0
4842805.8955	0.0
4849315.4645	0.0
4854844.918	0.0
4859810.8135	0.0
4865651.912	0.001
4872264.577	0.0
4880278.4195	0.001
4886597.8355	0.001
4892830.9025	0.0
4899239.2035	0.0
4904705.2635	0.0
4910832.7785	0.0
4917136.168	0.0
4923929.841	0.0
4931457.3285	0.0
4939018.1315	0.0
4944368.8625	0.0
4950125.335	0.0
4955965.301	0.0
4961890.145	0.0
4967146.562	0.0
4972638.8105	0.001
4978612.456	0.001
4986936.2195	0.001
4993246.7055	0.0
4999565.2325	0.001
5005960.7465	0.001
5011466.536	0.001
5017416.863	0.0
5022763.6495	0.001
5027673.5575	0.0
5032985.7935	0.0
5038274.6465	0.0
5043941.1715	0.0
5050658.992	0.0
5057582.2305	0.0
5064076.196	0.0
5069948.7215	0.0
5075541.3335	0.0
5081886.0225	0.0
5087532.673	0.0
5093393.365	0.0
5099374.7065	0.0
5105845.709	0.0
5111382.719	0.0
5116615.9835	0.001
5122363.631	0.001
5128136.566	0.001
5134474.2615	0.001
5140263.9775	0.001
5146334.5645	0.001
5153024.193	0.001
5159525.2285	0.0
5165524.019	0.0
5171439.5475	0.001
5176992.683	0.001
5183160.6025	0.001
5189208.104	0.001
5195961.6595	0.0
5202589.038	0.001
5209615.1155	0.001
