chrom	start	end	name
2R	28250033	28262588	2R:28255780
2R	28262588	28274893	2R:28269041
2R	28274893	28289873	2R:28282250
2R	28289873	28306606	2R:28297547
2R	28306605	28322681	2R:28316079
2R	28322681	28337951	2R:28330119
2R	28337951	28354693	2R:28346583
2R	28354692	28369784	2R:28361892
2R	28369784	28391434	2R:28380959
2R	28391433	28405240	2R:28398912
2R	28405239	28421116	2R:28412096
2R	28421116	28439220	2R:28429901
2R	28439219	28456407	2R:28446753
2R	28456407	28475225	2R:28464581
2R	28475225	28496115	2R:28485258
2R	28496114	28515482	2R:28506349
2R	28515481	28531112	2R:28523201
