midpoint	h1x
36493.229	0.041
96000.438	0.0
157004.6595	0.0
174090.08	0.047
192003.046	0.428
220430.1925	0.143
243655.642	0.029
268302.58	0.438
294654.397	0.0
316919.325	0.004
335693.553	0.008
355321.0605	0.024
370106.3685	0.001
396688.812	0.017
415067.0695	0.044
432890.6835	0.164
452558.844	0.496
470581.5645	0.262
489183.013	0.452
516438.5975	0.131
542791.792	0.088
568058.6295	0.26
588917.536	0.238
606397.176	0.25
630994.414	0.338
640755.3825	0.186
648710.167	0.094
666837.9445	0.45
678231.5205	0.475
694013.1535	0.159
710124.8925	0.409
723568.1055	0.0
739065.055	0.083
750495.516	0.476
760263.293	0.275
769866.386	0.167
781972.1675	0.463
797099.336	0.211
820677.846	0.124
838428.538	0.042
859622.1125	0.406
879236.715	0.111
903020.011	0.049
925580.152	0.207
937716.691	0.148
947270.079	0.037
958085.9965	0.281
974563.162	0.367
985520.543	0.342
1001883.0265	0.016
1041262.847	0.036
1074190.3835	0.001
1093099.7405	0.181
1132694.6025	0.146
1147824.97	0.07
1172258.2615	0.179
1196715.81	0.113
1209658.768	0.008
1260153.7715	0.032
1276071.519	0.556
1284118.156	0.567
1295515.686	0.525
1319147.239	0.558
1333490.5225	0.007
1358699.668	0.191
1389534.2105	0.36
1413444.153	0.549
1427120.075	0.102
1470146.4805	0.0
1501536.952	0.12
1517884.9015	0.787
1527794.832	0.697
1538982.194	0.822
1547706.919	0.319
1557137.3535	0.195
1567307.874	0.779
1578775.584	0.006
1599029.3795	0.01
1618516.3575	0.013
1640616.704	0.76
1663394.1155	0.703
1690522.421	0.356
1705396.4415	0.166
1736193.2315	0.03
1778503.9345	0.397
1800467.826	0.132
1824035.6915	0.574
1840797.8085	0.68
1857078.4975	0.322
1872586.093	0.175
1898425.348	0.179
1919370.6155	0.443
1932730.9905	0.473
1948110.557	0.142
1961506.305	0.047
1971293.499	0.823
1987968.027	0.0
2006528.6405	0.823
2023000.478	0.839
2041132.046	0.573
2050786.515	0.854
2063637.3005	0.283
2076603.1205	0.427
2089140.342	0.456
2108118.3375	0.795
2118477.4125	0.318
2135207.5055	0.397
2163983.961	0.762
2223839.2275	0.11
2272556.8235	0.823
2287253.1295	0.792
2321144.234	0.547
2354159.3	0.794
2367467.5135	0.397
2382625.0875	0.335
2393570.345	0.652
2407207.416	0.854
2422069.806	0.359
2431674.5795	0.0
2444031.5025	0.252
2479162.4565	0.324
2496357.9075	0.382
2525098.8605	0.839
2539850.0275	0.854
2554033.643	0.401
2567790.0155	0.838
2577082.6915	0.757
2585850.7135	0.574
2595845.99	0.368
2606459.0065	0.312
2616392.4905	0.444
2626211.642	0.422
2638284.3065	0.35
2647409.401	0.422
2668506.2035	0.447
2685960.6705	0.438
2697025.83	0.46
2706838.221	0.406
2723745.3145	0.447
2733123.535	0.234
2750496.163	0.388
2765184.372	0.049
2791920.4545	0.112
2804211.945	0.425
2815621.052	0.375
2827014.452	0.45
2838481.4105	0.413
2856537.663	0.413
2876463.52	0.413
2893155.22	0.403
2906478.7945	0.391
2915500.0325	0.374
2925954.7305	0.667
2938671.1685	0.159
2954284.3395	0.373
2963644.2635	0.361
2972009.3975	0.344
2984534.872	0.308
3001489.0335	0.335
3010489.343	0.306
3022210.062	0.254
3030433.053	0.322
3037880.938	0.314
3045375.607	0.296
3052797.962	0.256
3062041.0905	0.205
3070414.5865	0.211
3085017.4525	0.107
3093543.3375	0.195
3104967.4865	0.173
3113277.6225	0.2
3119600.6235	0.123
3126112.765	0.189
3140818.0985	0.033
3156014.432	0.187
3166325.21	0.161
3173036.855	0.123
3182415.0735	0.146
3192448.1045	0.151
3204563.8245	0.112
3211185.146	0.142
3220369.681	0.125
3232059.508	0.157
3238228.64	0.166
3244175.879	0.147
3250422.4675	0.267
3256476.466	0.231
3263584.9705	0.242
3272532.2945	0.258
3280242.28	0.133
3287421.075	0.218
3297701.713	0.145
3304073.6435	0.097
3309663.7525	0.102
3318879.0525	0.112
3345868.9855	0.087
3356442.9795	0.076
3377767.756	0.116
3383510.17	0.098
3389165.244	0.09
3395971.936	0.101
3402281.5455	0.107
3408515.2185	0.09
3414686.189	0.078
3422083.4375	0.078
3429182.7445	0.089
3434851.9555	0.093
3440345.7815	0.069
3446329.855	0.058
3452710.1065	0.068
3458890.3305	0.066
3464678.287	0.068
3471137.396	0.068
3481177.321	0.06
3488059.6955	0.062
3495768.3505	0.032
3504408.653	0.027
3510430.06	0.036
3516853.9685	0.033
3523119.918	0.031
3529765.973	0.021
3535815.5205	0.024
3542849.645	0.027
3554824.449	0.024
3573082.767	0.027
3585519.4915	0.024
3596497.9	0.026
3605536.7205	0.035
3611650.3035	0.043
3617526.314	0.037
3623350.2565	0.042
3628811.85	0.034
3634490.4345	0.032
3641162.0005	0.02
3650692.116	0.025
3667923.01	0.035
3673913.1905	0.033
3679460.292	0.036
3684960.095	0.016
3690585.9445	0.04
3698232.9395	0.034
3706003.1825	0.026
3716474.1055	0.012
3722379.8625	0.012
3728463.9685	0.016
3733906.3975	0.024
3739289.659	0.019
3745019.094	0.022
3750572.4285	0.021
3755666.8195	0.012
3761147.5085	0.006
3770950.9455	0.012
3777849.554	0.009
3791426.1405	0.008
3798018.978	0.008
3803974.7265	0.007
3812975.273	0.008
3835206.337	0.003
3847963.621	0.009
3854289.6035	0.006
3859895.885	0.002
3865520.5025	0.006
3871794.2345	0.01
3877008.978	0.01
3882583.0335	0.012
3889585.9595	0.011
3896918.068	0.011
3906238.975	0.008
3912111.744	0.005
3918106.854	0.008
3923394.1985	0.009
3928508.4595	0.009
3934619.376	0.009
3943350.2805	0.012
3949286.861	0.027
3955949.3205	0.028
3963963.9955	0.011
3971088.9515	0.012
3976687.5785	0.013
3988896.162	0.013
4051515.3005	0.0
4101413.7915	0.001
4107422.687	0.0
