midpoint	h12
9170.925	0.041
18159.2665	0.357
23847.06	0.077
29867.5655	0.099
36012.941	0.111
42094.369	0.048
48527.251	0.045
54833.0685	0.061
60828.646	0.051
67157.0525	0.046
73761.8355	0.082
79643.655	0.061
86154.899	0.033
93176.3485	0.06
99414.618	0.053
106014.1875	0.075
112182.7115	0.051
119581.239	0.054
125701.14	0.052
132837.2475	0.051
140050.149	0.063
146054.375	0.063
152418.8905	0.064
159636.2795	0.047
165891.0665	0.073
172069.9535	0.04
178646.067	0.084
184871.9315	0.048
191785.7665	0.063
198740.088	0.039
204757.824	0.041
210845.0265	0.056
216925.0695	0.052
222702.6165	0.041
228464.0115	0.094
234080.5735	0.041
239739.9985	0.048
245440.2625	0.062
251118.6825	0.047
256950.9575	0.046
263042.948	0.051
269078.525	0.057
274991.6835	0.049
280810.131	0.063
287500.135	0.049
293714.112	0.086
299342.5145	0.073
305032.7485	0.072
310528.368	0.048
316246.578	0.072
322593.497	0.031
329039.7195	0.066
334796.9515	0.044
340095.922	0.049
345524.2445	0.059
350891.0145	0.063
356389.1335	0.049
366685.115	0.052
374334.056	0.044
379798.174	0.036
385222.1065	0.104
390671.849	0.083
396193.031	0.069
401536.28	0.088
407182.417	0.107
412780.182	0.08
419527.1855	0.021
427107.4295	0.044
432662.6725	0.085
438207.6425	0.072
443922.5985	0.075
449788.5465	0.106
455214.6725	0.067
460795.896	0.084
467104.8925	0.082
473411.542	0.09
479051.278	0.046
484826.366	0.037
490732.346	0.04
496143.902	0.042
501692.324	0.038
507241.188	0.029
512540.2195	0.031
517906.5915	0.034
523602.3235	0.033
529173.6935	0.027
534486.5935	0.029
539955.855	0.026
545182.755	0.03
550213.0285	0.039
555047.824	0.032
559878.3755	0.032
564738.301	0.038
569598.4805	0.038
574396.071	0.036
579092.1025	0.034
584007.2285	0.034
588931.8035	0.031
593861.145	0.055
598801.2755	0.043
603562.113	0.026
608716.533	0.033
615515.737	0.031
621240.5945	0.042
626157.781	0.034
631037.115	0.033
635891.2395	0.03
640844.768	0.041
646563.292	0.047
651672.815	0.049
656628.0905	0.038
662931.67	0.042
668297.849	0.029
673192.1865	0.029
677984.184	0.026
682819.177	0.028
687553.8535	0.027
692568.2765	0.032
697423.0935	0.033
702287.2295	0.025
707078.034	0.029
711842.589	0.029
716727.2025	0.028
721680.171	0.025
726535.3945	0.025
731527.506	0.023
736564.8965	0.027
741832.3235	0.031
747123.343	0.033
752378.755	0.028
757734.6495	0.033
762857.783	0.028
767938.5285	0.025
772867.4255	0.025
777688.5935	0.024
782538.881	0.026
787887.224	0.026
793280.932	0.028
798380.7905	0.023
803420.3045	0.025
808413.8185	0.033
813262.693	0.031
818114.874	0.027
823060.2135	0.034
827935.352	0.032
832948.992	0.03
838235.125	0.033
843507.0645	0.037
848580.6005	0.035
853476.3015	0.026
858392.4635	0.027
863335.1205	0.022
868552.094	0.036
873737.5555	0.039
878900.7545	0.036
884796.1815	0.037
889744.8565	0.037
894679.6725	0.034
900198.5205	0.038
910413.0405	0.031
915378.7625	0.029
920344.4845	0.029
925625.561	0.031
930798.337	0.031
935901.364	0.036
941022.5005	0.037
946237.771	0.029
951394.4415	0.028
956627.7445	0.031
965741.218	0.027
972027.8025	0.029
977427.7305	0.038
982319.893	0.039
987122.6565	0.031
991893.9715	0.031
996894.257	0.039
1001722.3615	0.028
1006665.2215	0.034
1011529.9925	0.034
1016416.721	0.041
1021329.3945	0.041
1026318.7415	0.032
1031376.5975	0.032
1036166.808	0.034
1041195.5095	0.026
1046070.528	0.025
1050866.6275	0.029
1055752.7175	0.026
1060814.6045	0.026
1066024.969	0.028
1070889.327	0.048
1076216.734	0.035
1081175.645	0.028
1086662.4955	0.031
1091636.503	0.024
1097160.8455	0.028
1103009.617	0.032
1107968.502	0.027
1113169.1425	0.028
1118454.683	0.022
1124042.8075	0.022
1129474.882	0.026
1134668.3905	0.023
1140032.705	0.023
1145566.9115	0.023
1151239.643	0.03
1156767.577	0.028
1162037.5755	0.023
1167375.6485	0.022
1172772.7505	0.026
1178005.829	0.026
1183287.989	0.024
1189332.471	0.02
1195017.7085	0.024
1200918.073	0.022
1206144.8555	0.022
1211131.382	0.024
1216154.398	0.028
1221282.716	0.023
1226169.971	0.026
1231467.514	0.029
1236764.471	0.022
1242241.888	0.031
1247620.3095	0.03
1252850.255	0.037
1258196.8125	0.028
1263782.489	0.031
1268832.2615	0.023
1273947.2375	0.026
1279439.3875	0.026
1289067.219	0.028
1295960.572	0.027
1300942.4585	0.032
1306517.828	0.04
1311813.007	0.037
1317032.8405	0.042
1323091.759	0.047
1328468.317	0.036
1333649.65	0.029
1338792.6665	0.043
1344169.855	0.046
1349172.997	0.036
1354258.3305	0.038
1359479.0065	0.033
1364984.119	0.041
1370141.5055	0.031
1375218.4045	0.036
1386196.385	0.032
1393220.7185	0.027
1398584.7445	0.024
1403696.1815	0.023
1408763.6	0.021
1413800.1835	0.025
1418867.4335	0.023
1424071.5925	0.029
1429157.886	0.028
1434477.944	0.027
1440033.586	0.042
1445069.845	0.026
1450001.9985	0.028
1459246.879	0.028
1466136.5535	0.026
1471298.25	0.026
1477204.075	0.034
1482948.7655	0.029
1488835.198	0.022
1496801.502	0.02
1502167.7415	0.025
1507373.557	0.026
1512535.3115	0.026
1517816.9235	0.029
1523166.275	0.027
1528051.835	0.029
1533321.2405	0.028
1538631.16	0.032
1543933.154	0.03
1549355.594	0.03
1555018.849	0.029
1560251.7855	0.024
1565459.799	0.024
1570714.67	0.026
1576324.57	0.025
1581663.614	0.025
1587065.0945	0.02
1592230.3665	0.024
1597419.1705	0.026
1602424.0775	0.025
1607499.987	0.022
1613030.29	0.022
1618539.007	0.023
1624072.1645	0.028
1629526.2545	0.029
1634582.172	0.027
1639770.0655	0.031
1644956.3985	0.034
1650035.876	0.031
1655277.0805	0.031
1660433.368	0.038
1665421.7675	0.036
1670415.087	0.037
1675719.349	0.038
1681401.782	0.028
1686732.0525	0.036
1691923.5125	0.033
1697064.18	0.037
1702658.691	0.042
1707991.963	0.045
1713244.3945	0.031
1718836.6325	0.039
1724472.9155	0.027
1730036.9	0.024
1735410.0025	0.028
1740594.386	0.024
1746042.8435	0.024
1751616.5865	0.031
1757375.4715	0.027
1762871.3955	0.026
1768366.327	0.031
1773618.624	0.024
1778842.124	0.024
1784113.7125	0.021
1790064.5375	0.023
1795741.943	0.021
1801164.6395	0.023
1806925.969	0.023
1813762.6765	0.022
1819373.179	0.021
1825194.171	0.025
1831008.769	0.024
1837637.315	0.021
1843929.6155	0.032
1850935.6275	0.029
1858855.05	0.017
1864655.1065	0.024
1870127.5075	0.023
1875533.447	0.022
1880508.8865	0.024
1885405.331	0.026
1890372.7715	0.026
1895285.2435	0.025
1900296.029	0.026
1905294.456	0.026
1910356.0225	0.029
1915336.4855	0.032
1920274.872	0.033
1925159.7675	0.025
1929944.986	0.03
1934888.337	0.028
1939960.6485	0.028
1945026.5845	0.036
1950031.455	0.028
1955195.926	0.027
1960342.0575	0.021
1965399.131	0.022
1970739.062	0.027
1975998.4715	0.029
1981549.1575	0.023
1986923.8815	0.035
1991943.083	0.03
1996946.1945	0.042
2001779.3895	0.043
2006747.375	0.037
2012154.44	0.044
2017586.2885	0.038
2022983.0625	0.033
2028472.543	0.035
2034221.6225	0.028
2039730.5595	0.036
2045126.536	0.027
2050922.8205	0.022
2056020.9475	0.023
2061114.148	0.021
2066272.3905	0.024
2071473.497	0.024
2076623.4055	0.021
2081762.5105	0.025
2086868.48	0.028
2091845.1275	0.027
2096858.927	0.027
2102010.276	0.025
2107040.7245	0.029
2112071.398	0.035
2117378.002	0.036
2122622.1595	0.036
2128268.3545	0.029
2134731.5025	0.032
2141249.788	0.027
2146737.7675	0.028
2154693.4085	0.028
2160768.918	0.023
2169315.537	0.02
2182707.3585	0.018
2191048.135	0.017
2196976.8885	0.031
2202617.6785	0.027
2209650.3255	0.022
2220706.9315	0.041
2225590.207	0.035
2232316.193	0.021
2240717.179	0.039
2245800.276	0.029
2251185.284	0.022
2260391.0235	0.023
2267281.8375	0.021
2274059.007	0.023
2280082.37	0.03
2285111.976	0.034
2291817.8645	0.02
2303337.173	0.018
2316761.644	0.02
2322469.8955	0.037
2327619.41	0.027
2333015.2905	0.042
2338355.937	0.029
2343728.952	0.026
2348809.041	0.037
2354282.438	0.036
2360203.4355	0.037
2365847.537	0.033
2371113.946	0.033
2376392.921	0.027
2382232.4855	0.041
2387703.02	0.031
2393058.136	0.025
2398693.015	0.033
2404393.6345	0.034
2410321.5665	0.037
2416105.4325	0.039
2421542.434	0.034
2426816.7565	0.032
2432033.8615	0.028
2437206.325	0.023
2442506.75	0.023
2447908.66	0.028
2453188.5975	0.027
2458269.3835	0.029
2463307.536	0.029
2468513.5375	0.032
2473679.758	0.028
2478719.551	0.026
2484523.255	0.021
2491798.6585	0.022
2497147.585	0.021
2503546.589	0.024
2508733.1595	0.027
2513886.703	0.024
2519131.4795	0.028
2524847.3155	0.028
2531263.5685	0.041
2536820.9455	0.031
2541811.235	0.024
2547101.5765	0.026
2552499.469	0.027
2557635.327	0.03
2562852.5105	0.034
2568188.0495	0.031
2573740.927	0.026
2578956.596	0.028
2584234.704	0.026
2589276.1365	0.021
2595087.717	0.029
2600771.8425	0.027
2606285.479	0.035
2612108.21	0.032
2617717.1655	0.028
2623281.8905	0.031
2628790.888	0.03
2634718.6145	0.032
2639946.0395	0.031
2644940.5045	0.033
2649925.736	0.032
2654823.6175	0.027
2659823.054	0.027
2665027.7145	0.033
2670859.629	0.03
2676553.604	0.035
2681837.124	0.032
2687043.0615	0.027
2692486.58	0.026
2697504.408	0.024
2702817.019	0.028
2708848.008	0.024
2715065.73	0.026
2720444.1315	0.028
2725477.1075	0.029
2730792.8105	0.028
2736613.2595	0.027
2741913.606	0.026
2747201.3025	0.031
2752359.9625	0.034
2757259.6045	0.032
2762205.045	0.027
2767222.666	0.034
2772246.0865	0.031
2777582.0445	0.039
2782550.5435	0.046
2788534.707	0.046
2794849.695	0.045
2803702.577	0.051
2809331.399	0.057
2815355.528	0.038
2820926.771	0.036
2826314.4285	0.044
2831531.0365	0.051
2837146.5495	0.05
2842640.763	0.056
2848630.8375	0.028
2853868.9085	0.038
2859264.513	0.063
2864773.987	0.056
2870229.898	0.057
2876188.0625	0.076
2881375.369	0.049
2886659.184	0.063
2892012.417	0.057
2897349.43	0.057
2902917.4395	0.048
2908296.2535	0.069
2913832.696	0.084
2919451.875	0.084
2925405.6845	0.093
2930957.2405	0.086
2936773.947	0.076
2942342.2435	0.069
2948339.412	0.049
2953972.942	0.043
2958980.17	0.049
2964365.1505	0.055
2969719.5605	0.062
2975008.249	0.043
2980438.974	0.038
2985782.915	0.033
2991342.145	0.034
2996618.777	0.036
3001790.412	0.032
3006666.854	0.041
3011687.3285	0.039
3022868.0095	0.039
3037835.2975	0.045
3044527.022	0.036
3052414.452	0.03
3057923.7285	0.027
3064263.093	0.027
3071132.719	0.028
3076891.4445	0.023
3082516.573	0.024
3088402.2505	0.02
3095990.499	0.026
3102592.565	0.023
3107918.8485	0.027
3113590.5085	0.029
3119703.303	0.021
3125174.397	0.024
3130814.1735	0.022
3136087.0995	0.021
3141343.2205	0.021
3147886.0065	0.021
3153814.7445	0.021
3159539.1715	0.024
3166253.7265	0.021
3171772.3165	0.029
3176812.8045	0.032
3182168.187	0.024
3187760.4825	0.029
3192935.358	0.03
3198888.9835	0.023
3204551.512	0.023
3209923.6145	0.024
3215330.6445	0.04
3221032.601	0.028
3226623.526	0.029
3232516.7415	0.028
3238835.814	0.025
3244672.995	0.028
3250353.0265	0.032
3256100.1875	0.033
3261572.3155	0.028
3266692.898	0.027
3273755.188	0.024
3280345.039	0.024
3289796.596	0.022
3295335.797	0.022
3300585.0515	0.024
3305939.4355	0.022
3311022.1275	0.027
3316063.2025	0.026
3321030.0905	0.028
3326481.604	0.028
3332143.9385	0.029
3337409.21	0.024
3342677.4315	0.022
3348139.9445	0.023
3353211.188	0.023
3358637.5505	0.022
3365374.6375	0.024
3373352.144	0.026
3379148.1725	0.031
3384161.619	0.026
3389344.938	0.024
3395200.028	0.022
3401891.306	0.023
3416666.6865	0.021
3430540.2225	0.023
3435858.869	0.024
3440998.715	0.033
3446198.795	0.033
3451462.6465	0.031
3456345.082	0.029
3461086.726	0.031
3465992.946	0.025
3473063.081	0.028
3481762.1975	0.023
3488907.932	0.023
3493798.986	0.025
3498831.9035	0.028
3504751.6145	0.026
3509515.039	0.022
3514408.637	0.022
3519545.551	0.023
3524850.3485	0.025
3529646.878	0.025
3534696.6695	0.024
3539634.479	0.027
3544645.916	0.028
3549866.2805	0.033
3554739.2755	0.031
3559864.605	0.033
3564911.356	0.032
3569910.9175	0.031
3574783.766	0.026
3579705.463	0.028
3584572.142	0.026
3589506.968	0.022
3594672.2195	0.022
3599887.3175	0.022
3604909.7985	0.024
3609874.2285	0.021
3614924.426	0.024
3620076.3835	0.024
3625351.9	0.025
3630769.963	0.025
3636228.557	0.031
3641174.6635	0.031
3646005.2655	0.026
3651919.042	0.023
3657509.642	0.023
3662677.5645	0.026
3669263.8555	0.027
