Gene_stable_ID	Gene name	Descriptions	GO_terms
AGAP000002	KIBRLG	WW domain-containing protein	GO:0005515
AGAP000005		high mobility group protein B1	GO:0006310;GO:0003677;GO:0006357;GO:0008301;GO:0005634;GO:0045944;GO:0005737;GO:0000790;GO:0006338;GO:0045089;GO:0008134
AGAP000007	IGL1	contactin-like putative cell adhesion molecule	GO:0030424;GO:0007156;GO:0070593;GO:0098632;GO:0005886;GO:0007411;GO:0005515
AGAP000008		DnaJ (Hsp40) homolog subfamily A member 1	GO:0005829;GO:0046872;GO:0051082;GO:0031072;GO:0006457;GO:0005524;GO:0009408
AGAP000009		syntaxin-binding protein	GO:0045159;GO:0005096;GO:0019905;GO:0016192;GO:0005515;GO:0005737;GO:0016021;GO:0017157;GO:0017137;GO:0005886;GO:0031201
AGAP000010		ethanolamine kinase	
AGAP000011		branched-chain-amino-acid aminotransferase 2	GO:0052654;GO:0009099;GO:0009081;GO:0004084;GO:0009098;GO:0052655;GO:0003824;GO:0052656;GO:0005739
AGAP000012	TTRNA1	tyrosyl-tRNA synthetase	GO:0004831;GO:0005829;GO:0004812;GO:0043039;GO:0003723;GO:0000166;GO:0005737;GO:0006418;GO:0006437;GO:0005739;GO:0005524
AGAP000013			GO:0016020;GO:0016021
AGAP000014			
AGAP000015		proto-oncogene tyrosine-protein kinase ROS	GO:0004672;GO:0006468;GO:0004714;GO:0032006;GO:0007169;GO:0004713;GO:0016020;GO:0005887;GO:0043235;GO:0005524;GO:0005515
AGAP000016	SCRB10	Class B Scavenger Receptor (CD36 domain).	GO:0016020;GO:0016021
AGAP000017			GO:0005515
AGAP000018		phosphatidylinositol-4,5-bisphosphate 3-kinase	GO:0048015;GO:0046854;GO:0016301
AGAP000019		chaoptin	GO:0016021;GO:0005515
AGAP000021			GO:0016021
AGAP000022		amino acid transporter protein	GO:0016021;GO:0005975;GO:0003824
AGAP000023			
AGAP000025			
AGAP000028		calcium/calmodulin-dependent protein kinase (CaM kinase) II	GO:0004672;GO:0043005;GO:0006468;GO:0005737;GO:0004683;GO:0005516;GO:0005524
AGAP000029		E1A/CREB-binding protein	GO:0004402;GO:0005634;GO:0016573;GO:0006355;GO:0003712;GO:0008270;GO:0005515
AGAP000032			GO:0007155;GO:0008305
AGAP000033		Protein retinal degeneration B	GO:0015914;GO:0005622;GO:0031210;GO:0046872;GO:0005737;GO:0008525;GO:0005548;GO:0008526;GO:0035091
AGAP000035			GO:0051493;GO:0005815;GO:0008092
AGAP000037			GO:0005509;GO:0030509;GO:0060828;GO:0016021;GO:0048513;GO:0005515
AGAP000038		gamma-aminobutyric acid receptor subunit beta	GO:0006811;GO:0034220;GO:0005230;GO:0016021;GO:0016020;GO:0004888;GO:0005216;GO:0004890
AGAP000039		gamma-aminobutyric acid receptor subunit alpha	GO:0006811;GO:0034220;GO:0005230;GO:0016021;GO:0016020;GO:0004888;GO:0005216;GO:0004890
AGAP000040			GO:0055085;GO:0016021;GO:0008028
AGAP000041			GO:0005515
AGAP000042		histone-lysine N-methyltransferase	GO:0042799;GO:0034773;GO:0005515
AGAP000043		tousled-like kinase	GO:0004672;GO:0006468;GO:0005524
AGAP000044		thioredoxin domain-containing protein	GO:0045454;GO:0005623;GO:0043277
AGAP000045	GPROAR1	putative octopamine receptor 1	GO:0004930;GO:0016021;GO:0007186
AGAP000046			GO:0005366;GO:0016021;GO:0055085;GO:0022857;GO:0005887
AGAP000047	CPR130	cuticular protein RR-2 family 130	GO:0031012;GO:0042302
AGAP000048			GO:0045295;GO:0007026;GO:0008013;GO:0016055;GO:0030877;GO:0016477;GO:0045732;GO:0001708;GO:0030178;GO:0090090;GO:0007389;GO:0045595;GO:0005515
AGAP000049			GO:0003676;GO:0045131;GO:0000398;GO:0003723;GO:0008270
AGAP000051	HPX5	heme peroxidase 5	GO:0055114;GO:0006979;GO:0020037;GO:0004601
