midpoint	h1x
44235.388	0.006
69610.343	0.002
78057.1065	0.004
100296.028	0.001
113347.2845	0.006
122381.021	0.008
135887.632	0.002
162576.399	0.009
177985.8065	0.003
204618.797	0.0
274597.857	0.033
299037.2565	0.045
332907.229	0.036
347309.2075	0.012
362180.3935	0.004
371403.8275	0.007
379513.8805	0.021
390974.0675	0.056
445383.0585	0.004
524091.3905	0.003
546757.7455	0.0
585774.3025	0.001
621641.9605	0.009
640942.724	0.01
655318.8345	0.009
667097.908	0.016
696463.926	0.001
724761.9395	0.005
737965.4705	0.004
752303.36	0.005
767834.3805	0.001
780822.892	0.005
794329.2545	0.025
803404.005	0.01
817608.9045	0.005
829902.1315	0.007
839901.5935	0.004
849087.3425	0.004
861677.5015	0.018
871873.281	0.004
883169.515	0.003
907504.0785	0.01
934982.446	0.003
957560.39	0.001
971317.337	0.004
986826.958	0.002
1014408.0065	0.004
1040361.397	0.002
1090372.6405	0.003
1105828.9365	0.004
1122436.4305	0.002
1137483.2075	0.007
1150448.779	0.007
1190266.7785	0.001
1239575.6725	0.008
1247849.3315	0.023
1263266.5375	0.002
1277815.7905	0.008
1288160.8435	0.006
1296470.4275	0.007
1312297.8395	0.011
1333275.134	0.005
1356141.767	0.006
1383250.6245	0.005
1427477.8835	0.009
1475664.2615	0.005
1489780.0525	0.002
1499140.3445	0.006
1513379.9995	0.001
1529320.296	0.015
1543785.421	0.006
1555943.2295	0.158
1564190.74	0.005
1573992.407	0.208
1586307.3805	0.005
1599578.5285	0.071
1609378.588	0.079
1616800.6825	0.053
1624860.465	0.111
1635471.826	0.005
1646276.0695	0.062
1654187.634	0.116
1668378.8635	0.022
1709776.333	0.005
1726441.2255	0.006
1735137.354	0.058
1744164.772	0.055
1756767.544	0.002
1766938.3055	0.003
1774736.661	0.008
1783627.224	0.008
1795092.268	0.004
1807468.166	0.013
1815513.2735	0.0
1834143.0175	0.007
1847390.7315	0.004
1855856.9245	0.077
1864367.1045	0.008
1881832.31	0.006
1890343.6145	0.003
1898291.4	0.027
1906606.0735	0.005
1915282.281	0.004
1934056.799	0.004
1946156.834	0.005
1955455.16	0.027
1966045.966	0.004
1973946.0295	0.004
1981496.4625	0.003
1988806.1405	0.004
1996282.6505	0.003
2003944.788	0.004
2011269.815	0.004
2018975.9365	0.004
2026803.34	0.003
2034602.37	0.004
2042141.9425	0.004
2049700.078	0.005
2058519.2355	0.005
2067912.411	0.011
2075566.2825	0.004
2084963.578	0.004
2093839.489	0.005
2104206.9785	0.005
2112198.8765	0.035
2120879.503	0.025
2129122.531	0.008
2136797.543	0.003
2146574.049	0.006
2155187.116	0.006
2162740.107	0.004
2170565.2015	0.005
2178198.5615	0.006
2185782.6135	0.008
2197067.642	0.007
2206567.139	0.01
2213853.034	0.01
2221026.883	0.004
2228571.145	0.006
2240457.5015	0.005
2248858.4185	0.011
2256418.443	0.009
2263272.624	0.005
2270574.4145	0.004
2278063.2425	0.004
2286663.6455	0.012
2308640.2725	0.004
2330386.0275	0.004
2348262.788	0.014
2359744.0575	0.055
2369611.697	0.009
2377224.124	0.024
2387940.892	0.016
2395961.405	0.005
2406514.7185	0.022
2415517.8945	0.017
